epoch,avg_train_loss,avg_train_loss_det,avg_valid_loss,time
1,0.036686,0.036686,nan,5580.375767
2,0.023310,0.023310,nan,5570.932502
3,0.022817,0.022817,nan,5559.828742
4,0.022517,0.022517,nan,5541.612383
5,0.022319,0.022319,nan,5532.627761
6,0.022171,0.022171,nan,5557.830725
7,0.022033,0.022033,nan,5537.304340
8,0.021938,0.021938,nan,5639.361595
9,0.021925,0.021925,nan,5714.784239
10,0.021902,0.021902,nan,5744.670850
11,0.021917,0.021917,nan,5726.730053
12,0.022012,0.022012,nan,5637.474523
13,0.021928,0.021928,nan,5613.759150
14,0.021878,0.021878,nan,5593.480463
15,0.021816,0.021816,nan,5669.947504
16,0.021789,0.021789,nan,5649.089147
17,0.021780,0.021780,nan,5625.941825
18,0.021818,0.021818,nan,5603.958307
19,0.021776,0.021776,nan,5538.206623
20,0.021785,0.021785,nan,5524.258260
21,0.021772,0.021772,nan,5498.828119
22,0.021818,0.021818,nan,5515.817835
23,0.021815,0.021815,nan,5515.541780
24,0.021796,0.021796,nan,5510.625709
25,0.021860,0.021860,nan,5517.381595
26,0.021923,0.021923,nan,5520.360419
27,0.021973,0.021973,nan,5521.021377
